problem_id,model,test_id,passed,error
1,gemini_v3_flash,1,True,
1,gemini_v3_flash,2,True,
1,gemini_v3_flash,3,True,
1,gemini_v3_flash,4,True,
1,gemini_v3_flash,5,True,
1,gemini_v3_flash,6,True,
1,gemini_v3_flash,7,True,
1,gemini_v3_flash,8,True,
1,gemini_v3_flash,9,True,
1,gemini_v3_flash,10,True,
1,gemini_v3_flash,11,True,
1,gemini_v3_flash,12,True,
1,gemini_v3_flash,13,True,
1,gemini_v3_flash,14,True,
1,gemini_v3_flash,15,True,
1,gemini_v3_flash,16,True,
1,gemini_v3_flash,17,True,
1,gemini_v3_flash,18,True,
1,gemini_v3_flash,19,True,
1,gemini_v3_flash,20,True,
1,gemini_v3_flash,21,True,
1,gemini_v3_flash,22,True,
1,gemini_v3_flash,23,True,
1,gemini_v3_flash,24,True,
1,gemini_v3_flash,25,True,
1,gemini_v3_flash,26,True,
1,gemini_v3_flash,27,True,
1,gemini_v3_flash,28,True,
1,gemini_v3_flash,29,True,
1,gemini_v3_flash,30,True,
1,gemini_v3_flash,31,True,
1,gemini_v3_flash,32,True,
1,gemini_v3_flash,33,True,
1,gemini_v3_flash,34,True,
1,gemini_v3_flash,35,True,
1,gemini_v3_flash,36,True,
1,gemini_v3_flash,37,True,
1,gemini_v3_flash,38,True,
1,gemini_v3_flash,39,True,
1,gemini_v3_flash,40,True,
1,gemini_v3_flash,41,True,
1,gemini_v3_flash,42,True,
1,gemini_v3_flash,43,True,
1,gemini_v3_flash,44,True,
1,gemini_v3_flash,45,True,
1,gemini_v3_flash,46,True,
1,gemini_v3_flash,47,True,
1,gemini_v3_flash,48,True,
1,gemini_v3_flash,49,True,
1,gemini_v3_flash,50,True,
1,gemini_v3_flash,51,True,
1,gemini_v3_flash,52,True,
1,gemini_v3_flash,53,True,
1,gemini_v3_flash,54,True,
1,gemini_v3_flash,55,True,
1,gemini_v3_flash,56,True,
1,gemini_v3_flash,57,True,
1,gemini_v3_flash,58,True,
1,gemini_v3_flash,59,True,
1,gemini_v3_flash,60,True,
1,gemini_v3_flash,61,True,
1,gemini_v3_flash,62,True,
1,gemini_v3_flash,63,True,
1,gemini_v3_flash,64,True,
1,gemini_v3_flash,65,True,
1,gemini_v3_flash,66,True,
1,gemini_v3_flash,67,True,
1,gemini_v3_flash,68,True,
1,gemini_v3_flash,69,True,
1,gemini_v3_flash,70,True,
1,gemini_v3_flash,71,True,
1,gemini_v3_flash,72,True,
1,gemini_v3_flash,73,True,
1,gemini_v3_flash,74,True,
1,gemini_v3_flash,75,True,
1,gemini_v3_flash,76,True,
1,gemini_v3_flash,77,True,
1,gemini_v3_flash,78,True,
1,gemini_v3_flash,79,True,
1,gemini_v3_flash,80,True,
1,gemini_v3_flash,81,True,
1,gemini_v3_flash,82,True,
1,gemini_v3_flash,83,True,
1,gemini_v3_flash,84,True,
1,gemini_v3_flash,85,True,
1,gemini_v3_flash,86,True,
1,gemini_v3_flash,87,True,
1,gemini_v3_flash,88,True,
1,gemini_v3_flash,89,True,
1,gemini_v3_flash,90,True,
1,gemini_v3_flash,91,True,
1,gemini_v3_flash,92,True,
1,gemini_v3_flash,93,True,
1,gemini_v3_flash,94,True,
1,gemini_v3_flash,95,True,
1,gemini_v3_flash,96,True,
1,gemini_v3_flash,97,True,
1,gemini_v3_flash,98,True,
1,gemini_v3_flash,99,True,
1,gemini_v3_flash,100,True,
1,gemini_v3_flash,101,True,
1,gemini_v3_flash,102,True,
1,gemini_v3_flash,103,True,
1,gemini_v3_flash,104,True,
1,gemini_v3_flash,105,True,
1,gemini_v3_flash,106,True,
1,gemini_v3_flash,107,True,
1,gemini_v3_flash,108,True,
1,gemini_v3_flash,109,True,
1,gemini_v3_flash,110,True,
1,gemini_v3_flash,111,True,
1,gemini_v3_flash,112,True,
1,gemini_v3_flash,113,True,
1,gemini_v3_flash,114,True,
1,gemini_v3_flash,115,True,
2,gemini_v3_flash,1,True,
2,gemini_v3_flash,2,True,
2,gemini_v3_flash,3,True,
2,gemini_v3_flash,4,True,
2,gemini_v3_flash,5,True,
2,gemini_v3_flash,6,True,
2,gemini_v3_flash,7,True,
2,gemini_v3_flash,8,True,
2,gemini_v3_flash,9,True,
2,gemini_v3_flash,10,True,
2,gemini_v3_flash,11,True,
2,gemini_v3_flash,12,True,
2,gemini_v3_flash,13,True,
2,gemini_v3_flash,14,True,
2,gemini_v3_flash,15,True,
2,gemini_v3_flash,16,True,
2,gemini_v3_flash,17,True,
2,gemini_v3_flash,18,True,
2,gemini_v3_flash,19,True,
2,gemini_v3_flash,20,True,
3,gemini_v3_flash,1,False,AssertionError()
3,gemini_v3_flash,2,True,
3,gemini_v3_flash,3,False,AssertionError()
3,gemini_v3_flash,4,False,AssertionError()
3,gemini_v3_flash,5,False,AssertionError()
3,gemini_v3_flash,6,False,AssertionError()
3,gemini_v3_flash,7,False,AssertionError()
3,gemini_v3_flash,8,True,
3,gemini_v3_flash,9,True,
3,gemini_v3_flash,10,False,AssertionError()
3,gemini_v3_flash,11,False,AssertionError()
3,gemini_v3_flash,12,False,AssertionError()
3,gemini_v3_flash,13,False,AssertionError()
3,gemini_v3_flash,14,False,AssertionError()
3,gemini_v3_flash,15,False,AssertionError()
3,gemini_v3_flash,16,False,AssertionError()
3,gemini_v3_flash,17,False,AssertionError()
3,gemini_v3_flash,18,False,AssertionError()
3,gemini_v3_flash,19,False,AssertionError()
3,gemini_v3_flash,20,False,AssertionError()
3,gemini_v3_flash,21,False,AssertionError()
3,gemini_v3_flash,22,False,AssertionError()
3,gemini_v3_flash,23,False,AssertionError()
3,gemini_v3_flash,24,False,AssertionError()
3,gemini_v3_flash,25,False,AssertionError()
3,gemini_v3_flash,26,False,AssertionError()
3,gemini_v3_flash,27,False,AssertionError()
3,gemini_v3_flash,28,False,AssertionError()
3,gemini_v3_flash,29,False,AssertionError()
3,gemini_v3_flash,30,False,AssertionError()
3,gemini_v3_flash,31,False,AssertionError()
3,gemini_v3_flash,32,False,AssertionError()
3,gemini_v3_flash,33,False,AssertionError()
3,gemini_v3_flash,34,False,AssertionError()
3,gemini_v3_flash,35,False,AssertionError()
3,gemini_v3_flash,36,False,AssertionError()
3,gemini_v3_flash,37,False,AssertionError()
3,gemini_v3_flash,38,False,AssertionError()
3,gemini_v3_flash,39,False,AssertionError()
3,gemini_v3_flash,40,False,AssertionError()
3,gemini_v3_flash,41,False,AssertionError()
3,gemini_v3_flash,42,False,AssertionError()
3,gemini_v3_flash,43,False,AssertionError()
3,gemini_v3_flash,44,False,AssertionError()
3,gemini_v3_flash,45,False,AssertionError()
3,gemini_v3_flash,46,False,AssertionError()
3,gemini_v3_flash,47,False,AssertionError()
3,gemini_v3_flash,48,False,AssertionError()
3,gemini_v3_flash,49,False,AssertionError()
3,gemini_v3_flash,50,False,AssertionError()
3,gemini_v3_flash,51,False,AssertionError()
3,gemini_v3_flash,52,False,AssertionError()
3,gemini_v3_flash,53,False,AssertionError()
3,gemini_v3_flash,54,False,AssertionError()
3,gemini_v3_flash,55,False,AssertionError()
3,gemini_v3_flash,56,False,AssertionError()
3,gemini_v3_flash,57,False,AssertionError()
3,gemini_v3_flash,58,False,AssertionError()
3,gemini_v3_flash,59,False,AssertionError()
3,gemini_v3_flash,60,False,AssertionError()
3,gemini_v3_flash,61,False,AssertionError()
3,gemini_v3_flash,62,False,AssertionError()
3,gemini_v3_flash,63,False,AssertionError()
3,gemini_v3_flash,64,False,AssertionError()
3,gemini_v3_flash,65,False,AssertionError()
3,gemini_v3_flash,66,False,AssertionError()
3,gemini_v3_flash,67,False,AssertionError()
3,gemini_v3_flash,68,False,AssertionError()
3,gemini_v3_flash,69,False,AssertionError()
3,gemini_v3_flash,70,False,AssertionError()
3,gemini_v3_flash,71,False,AssertionError()
3,gemini_v3_flash,72,False,AssertionError()
3,gemini_v3_flash,73,False,AssertionError()
3,gemini_v3_flash,74,False,AssertionError()
3,gemini_v3_flash,75,False,AssertionError()
3,gemini_v3_flash,76,False,AssertionError()
3,gemini_v3_flash,77,False,AssertionError()
3,gemini_v3_flash,78,False,AssertionError()
3,gemini_v3_flash,79,False,AssertionError()
3,gemini_v3_flash,80,False,AssertionError()
3,gemini_v3_flash,81,False,AssertionError()
3,gemini_v3_flash,82,False,AssertionError()
3,gemini_v3_flash,83,False,AssertionError()
3,gemini_v3_flash,84,False,AssertionError()
3,gemini_v3_flash,85,False,AssertionError()
3,gemini_v3_flash,86,False,AssertionError()
3,gemini_v3_flash,87,False,AssertionError()
4,gemini_v3_flash,1,True,
4,gemini_v3_flash,2,True,
4,gemini_v3_flash,3,True,
4,gemini_v3_flash,4,True,
4,gemini_v3_flash,5,True,
4,gemini_v3_flash,6,True,
4,gemini_v3_flash,7,True,
4,gemini_v3_flash,8,True,
4,gemini_v3_flash,9,True,
4,gemini_v3_flash,10,False,AssertionError()
4,gemini_v3_flash,11,True,
4,gemini_v3_flash,12,True,
4,gemini_v3_flash,13,True,
4,gemini_v3_flash,14,False,AssertionError()
4,gemini_v3_flash,15,False,AssertionError()
4,gemini_v3_flash,16,False,AssertionError()
4,gemini_v3_flash,17,True,
4,gemini_v3_flash,18,True,
4,gemini_v3_flash,19,True,
4,gemini_v3_flash,20,True,
4,gemini_v3_flash,21,True,
4,gemini_v3_flash,22,True,
4,gemini_v3_flash,23,True,
4,gemini_v3_flash,24,True,
4,gemini_v3_flash,25,True,
4,gemini_v3_flash,26,True,
4,gemini_v3_flash,27,True,
4,gemini_v3_flash,28,True,
4,gemini_v3_flash,29,True,
4,gemini_v3_flash,30,True,
4,gemini_v3_flash,31,True,
4,gemini_v3_flash,32,True,
4,gemini_v3_flash,33,True,
4,gemini_v3_flash,34,True,
4,gemini_v3_flash,35,False,AssertionError()
4,gemini_v3_flash,36,True,
4,gemini_v3_flash,37,False,AssertionError()
4,gemini_v3_flash,38,True,
4,gemini_v3_flash,39,True,
4,gemini_v3_flash,40,True,
4,gemini_v3_flash,41,True,
4,gemini_v3_flash,42,True,
4,gemini_v3_flash,43,True,
4,gemini_v3_flash,44,True,
4,gemini_v3_flash,45,True,
4,gemini_v3_flash,46,True,
4,gemini_v3_flash,47,True,
4,gemini_v3_flash,48,False,AssertionError()
4,gemini_v3_flash,49,True,
4,gemini_v3_flash,50,True,
4,gemini_v3_flash,51,True,
4,gemini_v3_flash,52,False,AssertionError()
4,gemini_v3_flash,53,True,
4,gemini_v3_flash,54,False,AssertionError()
4,gemini_v3_flash,55,True,
4,gemini_v3_flash,56,True,
4,gemini_v3_flash,57,True,
4,gemini_v3_flash,58,True,
4,gemini_v3_flash,59,True,
4,gemini_v3_flash,60,False,AssertionError()
4,gemini_v3_flash,61,True,
4,gemini_v3_flash,62,True,
4,gemini_v3_flash,63,True,
4,gemini_v3_flash,64,False,AssertionError()
4,gemini_v3_flash,65,False,AssertionError()
4,gemini_v3_flash,66,True,
4,gemini_v3_flash,67,True,
4,gemini_v3_flash,68,True,
4,gemini_v3_flash,69,True,
5,gemini_v3_flash,1,True,
5,gemini_v3_flash,2,True,
5,gemini_v3_flash,3,True,
5,gemini_v3_flash,4,True,
5,gemini_v3_flash,5,True,
5,gemini_v3_flash,6,True,
5,gemini_v3_flash,7,True,
5,gemini_v3_flash,8,True,
5,gemini_v3_flash,9,True,
5,gemini_v3_flash,10,True,
5,gemini_v3_flash,11,True,
